tp_record_share;compagnia_exp;compagnia_ania;ramo;descrizione_ramo;codice_prodotto;data_inizio_emissione;data_fine_emissione;versione;descrizione_prodotto;codice_prodotto_inviante;codice_prodotto_ricevente
100;GPM;;;;000518;;;;Guidamica - Veicoli;OWEB-23774-GPM-000518;
100;GEN;5;;;CAT-00000014;;;;ACTIVE VEICOLI AUTOPIU';OWEB-23774-GEN-CAT-00000014;
100;GEN;5;;;CAT-00000015;;;;ATTIVA FLOTTA SICURA;OWEB-23774-GEN-CAT-00000015;
100;GEN;5;;;CAT-F460NEW;;;;ACTIVE FUTURO DOMANI PROTETTO;OWEB-23774-GEN-CAT-F460NEW;
100;GEN;5;;;CAT-F684;;;;GENERAZIONE PREVIDENTE;OWEB-23774-GEN-CAT-F684;
100;GEN;5;;;CAT-F848NEW;;;;ACTIVE FUTURO IN AUTONOMIA;OWEB-23774-GEN-CAT-F848NEW;
100;GEN;5;;;CAT-KAIW0;;;;CARISMI PIÙ VALORE NOVITÀ;OWEB-23774-GEN-CAT-KAIW0;
100;GEN;5;;;CAT-KAPROT1;;;;TCM A PREMIO ANNUO - CAP COST.01;OWEB-23774-GEN-CAT-KAPROT1;
100;GEN;5;;;CAT-MUL;;;;ATTIVA MULTIRAMO;OWEB-23774-GEN-CAT-MUL;
100;GEN;5;;;CAT-ORI;;;;ACTIVE PROTEZIONE;OWEB-23774-GEN-CAT-ORI;
100;GEN;5;;;CAT-ORI-5;;;;ACTIVE CASA&PERSONA;OWEB-23774-GEN-CAT-ORI-5;
100;GEN;5;;;CAT-ORI-6;;;;ACTIVE BENESSERE;OWEB-23774-GEN-CAT-ORI-6;
100;GEN;5;;;CAT-ORI-7;;;;CATTOLICA&PROFESSIONI;OWEB-23774-GEN-CAT-ORI-7;
100;GEN;5;;;CAT-ORI-C053;;;;GIA' PREVISTO;OWEB-23774-GEN-CAT-ORI-C053;
100;GEN;5;;;CAT-ORI-C060;;;;CATTOLICA&INFORTUNI DEL CONDUCENTE;OWEB-23774-GEN-CAT-ORI-C060;
100;GEN;5;;;CAT-ORI-CMIGRO;;;;CMIGRAZIONERE;OWEB-23774-GEN-CAT-ORI-CMIGRO;
100;GEN;5;;;CAT-ORI-PL;;;;CATTOLICA&TUTELA LEGALE FINO AL 21/07;OWEB-23774-GEN-CAT-ORI-PL;
100;GEN;5;;;CAT-ORI-QRCGEE;;;;Q_RCG_ENTI ECCLESIASTICI;OWEB-23774-GEN-CAT-ORI-QRCGEE;
100;GEN;5;;;CAT-ORI-Q_IL;;;;Q_INDUSTRIAL LINE;OWEB-23774-GEN-CAT-ORI-Q_IL;
100;GEN;5;;;CAT-ORI-Q_RCG;;;;Q_RCG;OWEB-23774-GEN-CAT-ORI-Q_RCG;
100;GEN;5;;;CAT-ORI-RE0001;;;;CATTOLICA&IMPRESA - ARTIGIANO E PICCOLA INDUSTRIA;OWEB-23774-GEN-CAT-ORI-RE0001;
100;GEN;5;;;CAT-ORI-RE0003;;;;CATTOLICA&SALUTE - OGNI GIORNO CLICK CIRCOLAZIONE;OWEB-23774-GEN-CAT-ORI-RE0003;
100;GEN;5;;;CAT-ORI-RE0006;;;;CATTOLICA&SALUTE - OGNI GIORNO CIRCOLAZIONE;OWEB-23774-GEN-CAT-ORI-RE0006;
100;GEN;5;;;CAT-ORI-U128;;;;CATTOLICA&IMPRESA - SMALL BUSINESS;OWEB-23774-GEN-CAT-ORI-U128;
100;GEN;5;;;CAT-ORI-U133;;;;ACTIVE BUSINESS;OWEB-23774-GEN-CAT-ORI-U133;
100;GEN;5;;;CAT-R60;;;;R.C.T. E R.C.O. - EMISSIONE DIREZIONALE;OWEB-23774-GEN-CAT-R60;
100;GEN;5;;;CAT-RCP;;;;ATTIVA PROFESSIONE;OWEB-23774-GEN-CAT-RCP;
100;GEN;5;;;CAT-TS091;;;;P.TSP.091 - FASCICOLO AMMINISTRATIVO PREMI/USCITE;OWEB-23774-GEN-CAT-TS091;
100;UCA-33300;0127;;;DINTAR;;;;Sicura Targa;OWEB-23774-UCA-33300-DINTAR;
100;UCA-33300;0127;;;TUAUTO;;;;TutelAuto;OWEB-23774-UCA-33300-TUAUTO;
