tp_record_share;id_polizza_exp;id_anagrafica_exp;id_anag_inviante;id_anag_ricevente;id_polizza_invio;id_polizza_inviante;id_polizza_ricevente;id_rischio_exp;compagnia_ania;compagnia_exp;agenzia;numero_polizza_cmp;progressivo;progressivo_contratto;repertorio;rischio_art20;descrizione_rischio_art_20;stato_art_20;tipo_polizza_share;ramo_share;ramo_cmp;rischio_cmp;cod_rischio_inviante;prodotto_cmp;sottoprodotto_cmp;versione_prodotto_cmp;modello_cga_cmp;ramo_gestione_cmp;cod_stato_share;cod_storno_share;cod_storno_cmp;data_annullamento;data_sospensione;effetto;scadenza_originale;scadenza_effettiva;scadenza_emesso;scadenza_incassato;frazionamento_share;durata_share;tacito_rinnovo_share;proroga_share;disdetta_share;giorni_mora;collaboratore_1;collaboratore_2;collaboratore_3;collaboratore_4;collaboratore_5;tipo_coass;ns_quota;quota_delegataria_sinistri;cmp_delegataria;numero_polizza_delegataria;tipo_riparto_share;fl_vincolo;tipo_vincolo_cmp;scadenza_vincolo;codice_vincolo;vincolataria;valuta_share;fl_imposta;fl_antiracket;cmp_sostituita_1_ania;cmp_sostituita_1_exp;agenzia_sostituita_1;numero_polizza_sostituita_1;progressivo_sostituita_1;repertorio_sostituita_1;cmp_sostituente_ania;cmp_sostituente_exp;agenzia_sostituente;numero_polizza_sostituente;progressivo_sostituente;repertorio_sostituente;id_sostituita_exp;id_sostituita_inviante;id_sostituita_ricevente;id_sostituente_exp;id_sostituente_inviante;id_sostituente_ricevente;codice_calcolo_provvigioni;tipo_provvigioni_share;fl_provvigioni_forzate;tipo_premi;tipo_premi_delega;provvigioni_totali;provvigioni_acquisto;provvigioni_incasso;netto_totale;diritti_totale;accessori_totale;imponibile_totale;antiracket_totale;ssn_totale;tasse_totale;lordo_totale;interessi_frazionamento;compenso_totale;fondo_mutua_totale;altre_spese_totale;diritti_emissione;diritti_puo;diritti_pur;sconto;sconto_applicato_1;sconto_applicato_2;flag_riparto;canale_com;canale_commerciale;tipo_pagamento;numero_proposta_cmp;codice_broker;data_emissione;tipo_affare_share;libro_matricola;numero_applicazione_lm;quietanzamento_lm;tipo_firma;account;filiale;mezzo_pagamento_cmp;mezzo_pag_share;provv_tot_c1;provv_acq_c1;provv_acq_parte_fissa_c1;provv_acq_parte_variabile_c1;provv_inc_c1;provv_inc_parte_fissa_c1;provv_inc_parte_variabile_c1;al_provv_tot_c1;al_provv_acq_c1;al_provv_acq_parte_fissa_c1;al_provv_acq_parte_variabile_c1;al_provv_inc_c1;al_provv_inc_parte_fissa_c1;al_provv_inc_parte_variabile_c1;binder;corrispondente;sindacato;piazzamento;sottoscrittore;ramo_binder;polizza_lps;solo_fondi;estensione_1;estensione_2;estensione_3;id_fornitore_inviante;id_fornitore_ricevente;url_docum_unica;url_docum_dip;url_docum_dip_agg;url_docum_cga;data_fine_sospensione;cod_riattivazione;timestamp_record
20;241951052;97015963;OWEB-23774-97015963;;241951052;OWEB-23774-241951052;;;5;GEN;A000134469;180394770;0;;;;;;2;;3N;10;;CAT-00000014;;;;;SO;ST;;18/06/2024;;18/06/2023;18/06/2024;18/06/2025;;18/06/2024;1;;S;;0;0;024;;;;;1;10000;0;;;0;;;;;;EUR;N;;;;;;0;;;;;182259623;0;;;;;;;;;;;R;T;0,00;0,00;0,00;1958,86;0,00;0,00;1958,86;0,00;195,16;440,97;2399,83;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;24/05/2023;;N;;0;;;;;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;;;;;;;
20;241951163;97016776;OWEB-23774-97016776;;241951163;OWEB-23774-241951163;;;5;GEN;A000134469;180394881;0;;;;;;2;;3N;10;;CAT-00000014;;;;;SO;ST;;08/06/2025;;08/06/2023;08/06/2024;08/06/2026;;08/06/2025;1;;S;;0;0;076;;;;;1;10000;0;;;0;;;;;;EUR;N;;;;;;0;;;;;183629205;0;;;;;;;;;;;R;T;0,00;0,00;0,00;397,19;0,00;0,00;397,19;0,02;41,65;91,31;488,5;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;13/06/2023;;N;;0;;;;;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;;;;;;;
20;241952633;97015885;OWEB-23774-97015885;;241952633;OWEB-23774-241952633;;;5;GEN;A000134469;730239690;0;;;;;;1;;3S;400;;CAT-ORI-PL;;;;;SO;ST;;20/12/2025;;26/10/2023;;30/12/2026;;20/12/2025;1;;S;;0;0;;;;;;1;10000;0;;;0;;;;;;EUR;N;;;;;;0;;;;;732698790;0;;;;;;;;;;;R;T;0,00;0,00;0,00;63,5;0,00;0,00;63,5;0,00;0,00;13,5;77,0;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;26/10/2023;;N;;0;;;;;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;;;;;;;
20;247897318;97015378;OWEB-23774-97015378;;247897318;OWEB-23774-247897318;;;5;GEN;A000134469;730688705;0;;;;;;1;;3E;200;;CAT-ORI-7;;;;;SO;ST;;21/05/2024;;21/03/2024;;21/05/2025;;21/05/2024;1;;S;;0;0;024;;;;;1;10000;0;;;0;;;;;;EUR;N;;;;;;0;;;;;732199604;0;;;;;;;;;;;R;T;0,00;0,00;0,00;374,64;0,00;0,00;374,64;0,00;0,00;83,35;457,99;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;21/03/2024;;N;;0;;;;;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;;;;;;;
20;247897349;97018896;OWEB-23774-97018896;;247897349;OWEB-23774-247897349;;;5;GEN;A000134469;730746992;0;;;;;;1;;3E;200;;CAT-ORI-CMIGRO;;;;;SO;ST;;24/07/2024;;21/03/2024;;20/05/2025;;24/07/2024;1;;S;;0;0;215;;;;;1;10000;0;;;0;;;;;;EUR;N;;;;;;0;;;;;732241398;0;;;;;;;;;;;R;T;0,00;0,00;0,00;121,07;0,00;0,00;121,07;0,00;0,00;26,93;148,0;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;21/03/2024;;N;;0;;;;;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;;;;;;;
20;249472837;97019456;OWEB-23774-97019456;;249472837;OWEB-23774-249472837;;;5;GEN;A000134469;730787221;0;;;;;;1;;01;351;;CAT-ORI-5;;;;;SO;ST;;27/11/2025;;23/04/2024;;22/06/2026;;27/11/2025;1;;S;;0;0;215;;;;;1;10000;0;;;0;;;;;;EUR;N;;;;;;0;;;;;732645711;0;;;;;;;;;;;R;T;0,00;0,00;0,00;576,96;0,00;57,72;634,68;0,00;0,00;105,32;740,0;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;23/04/2024;;N;;0;;;;;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;;;;;;;
20;253621537;97015896;OWEB-23774-97015896;;253621537;OWEB-23774-253621537;;;5;GEN;A000134469;731028714;0;;;;;;1;;3E;200;;CAT-ORI-QRCGEE;;;;;SO;ST;;20/12/2025;;23/07/2024;;11/09/2026;;20/12/2025;2;;S;;0;0;;;;;;1;10000;0;;;0;;;;;;EUR;N;;;;;;0;;;;;732681397;0;;;;;;;;;;;R;T;0,00;0,00;0,00;177,18;0,00;0,00;177,18;0,00;0,00;0,00;177,18;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;23/07/2024;;N;;0;;;;;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;;;;;;;
20;257041089;97016195;OWEB-23774-97016195;;257041089;OWEB-23774-257041089;;;5;GEN;A000134469;731230320;0;;;;;;1;;3E;200;;CAT-ORI-QRCGEE;;;;;SO;ST;;20/12/2025;;29/10/2024;;30/12/2026;;20/12/2025;1;;S;;0;0;;;;;;1;10000;0;;;0;;;;;;EUR;N;;;;;;0;;;;;732681866;0;;;;;;;;;;;R;T;0,00;0,00;0,00;43,0;0,00;0,00;43,0;0,00;0,00;9,57;52,57;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;29/10/2024;;N;;0;;;;;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;;;;;;;
20;257041101;97016201;OWEB-23774-97016201;;257041101;OWEB-23774-257041101;;;5;GEN;A000134469;731243363;0;;;;;;1;;3E;200;;CAT-ORI-QRCGEE;;;;;SO;ST;;20/12/2025;;29/10/2024;;30/12/2026;;20/12/2025;2;;S;;0;0;;;;;;1;10000;0;;;0;;;;;;EUR;N;;;;;;0;;;;;732682020;0;;;;;;;;;;;R;T;0,00;0,00;0,00;50,59;0,00;0,00;50,59;0,00;0,00;0,00;50,59;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;29/10/2024;;N;;0;;;;;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;;;;;;;
20;259326551;105723797;OWEB-23774-105723797;;259326551;OWEB-23774-259326551;;;5;GEN;A000134469;182260074;0;;;;;;2;;3N;10;;CAT-00000014;;;;;SO;ST;;31/12/2025;;30/12/2024;31/12/2024;31/12/2026;;31/12/2025;1;;S;;0;0;024;;;;;1;10000;0;;;0;;;;;;EUR;N;;;;;180992399;0;;;;;183629736;0;;;;;;;;;;;R;T;0,00;0,00;0,00;929,13;0,00;0,00;929,13;0,00;60,48;168,76;1097,89;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;30/12/2024;;N;;0;;;;;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;;;;;;;
