tp_record_share;id_polizza_exp;id_polizza_invio;id_polizza_inviante;id_polizza_ricevente;compagnia_ania;compagnia_exp;agenzia;numero_polizza_cmp;progressivo;repertorio;tipo_codice_veicolo;codice_veicolo;data_immatricolazione;guida_esperta;settore_rca_share;classe_rca_share;uso_rca_share;trasportati_rca_share;estensioni_rca_share;limitazioni_rca_share;rimorchio_rca_share;tipo_targa_share;targa;telaio;marca;modello;tipo_tariffa_rca_share;bonus_malus_universale;bonus_malus_interna;tp_alimentazione_share;cavalli_fiscali;quintali;posti;cilindrata;peso_posti_rim;kw;codice_massimale_share;massimale_unico;massimale_sinistro;massimale_cose;massimale_persone;id_anagrafico_intestatariopra;flessibilita_rca;airbag_passeggero;codice_convenzione;abs;franchigia_bm;pejus;valore_veicolo;valore_accessori;fl_indicizzazione;indice_base;indice_istat;premio_base_indicizzazione;tariffa_vita;descrizione_tariffa_vita;massa;regolaz_premio;dt_pross_regolazione;codice_causale_regolazione_cmp;gg_comunicazione_dati_regolazione;marca_scatola_nera;modello_scatola_nera;natanti_numero_motori;natanti_stazza;natanti_lunghezza_fuori_tutto;natanti_velocita_massima;natanti_immatricolazione_estera;natanti_uso_diporto;libro_matricola;numero_applicazione_lm;data_prossima_qz;id_beneficiario_vita_exp;id_beneficiario_inviante;id_beneficiario_ricevente;id_assicurato_vita_exp;id_assicurato_inviante;id_assicurato_ricevente;tipo_polizza_vita_share;capitale_caso_morte;capitale_iniziale;capitale_attuale;capitale_rivalutato;benefici_mutualita;data_ultima_rivalutazione;totale_quote;finanziamento;visita_medica;adeguamento_capitale;durata_pag_premi;cumulo_versamenti;cumulo_riscatti;valore_polizza;data_valore_polizza;eta_minima;eta_massima;versamento_minimo;versamento_massimo;costi;data_rescindibilita;percentuale_detraibilita;descrizione_re;patrimonio;totale_iscritti_attivi;totale_nuovi_iscritti;data_iscrizione_nuovi_iscritti;riparazione_convenzionata;codice_aggregazione;id_mezzo_exp;ragione_sociale_cassa;partita_iva_cassa;timestamp_record
21;276992621;276992621;OWEB-23774-276992621;;5;GEN;;153000742;0;;0;;06/2021;N;4;5;3;0;;;;1;GD485DA;;MAN;TGX;;16;;DIESEL;0;0;0;12419;0;375;;0,00;0,00;0,00;0,00;;0,00;N;;;0,00;;;;;0,00;0,00;0,00;;;0;N;;;0;;;0;0;0;0;;;N;;;;;;;;;;0,00;0,00;0,00;0,00;;;0,00;;;;0;0,00;0,00;0,00;;0;0;0,00;0,00;0,00;;0,00;;0,00;0;0;;N;;;;;
21;289400519;289400519;OWEB-23774-289400519;;5;GEN;;184643234;0;;0;;09/2006;N;0;0;0;0;;;;2;SO011970;;GENEROSA;N 4;;1;;;0;0;0;0;0;0;;0,00;15000000,00;15000000,00;15000000,00;;0,00;N;;;0,00;;;;;0,00;0,00;0,00;;;0;N;;;0;;;0;0;0;0;;;N;;;;;;;;;;0,00;0,00;0,00;0,00;;;0,00;;;;0;0,00;0,00;0,00;;0;0;0,00;0,00;0,00;;0,00;;0,00;0;0;;N;;;;;
21;289400520;289400520;OWEB-23774-289400520;;5;GEN;;184643235;0;;0;000493;03/2002;N;5;31;0;0;;;;1;BE73965;;YAMAHA;T MAX;;1;;BENZINA;0;0;0;499;0;29;;0,00;8000000,00;8000000,00;8000000,00;;0,00;N;;;0,00;;;;;0,00;0,00;0,00;;;0;N;;;0;;;0;0;0;0;;;N;;;;;;;;;;0,00;0,00;0,00;0,00;;;0,00;;;;0;0,00;0,00;0,00;;0;0;0,00;0,00;0,00;;0,00;;0,00;0;0;;N;;;;;
21;289400521;289400521;OWEB-23774-289400521;;5;GEN;;184643236;0;;0;013482;06/1993;N;5;31;0;0;;;;2;CO210703;;YAMAHA;XV 250 VIRAGO;;18;;BENZINA;0;0;0;248;0;15;;0,00;0,00;0,00;0,00;;0,00;N;;;0,00;;;;;0,00;0,00;0,00;;;0;N;;;0;;;0;0;0;0;;;N;;;;;;;;;;0,00;0,00;0,00;0,00;;;0,00;;;;0;0,00;0,00;0,00;;0;0;0,00;0,00;0,00;;0,00;;0,00;0;0;;N;;;;;
21;289400522;289400522;OWEB-23774-289400522;;5;GEN;;184643237;0;;0;001543;05/2003;N;5;31;0;0;;;;1;BW48464;;PIAGGIO;VESPA 200 L GRANTURISM;;1;;BENZINA;0;0;0;198;0;14;;0,00;8000000,00;8000000,00;8000000,00;;0,00;N;;;0,00;;;;;0,00;0,00;0,00;;;0;N;;;0;;;0;0;0;0;;;N;;;;;;;;;;0,00;0,00;0,00;0,00;;;0,00;;;;0;0,00;0,00;0,00;;0;0;0,00;0,00;0,00;;0,00;;0,00;0;0;;N;;;;;
21;289400523;289400523;OWEB-23774-289400523;;5;GEN;;184643238;0;;0;081886;12/2010;N;1;1;1;0;;;;1;ED369ZX;;VOLKSWAGEN;POLO 1.2 70 CV 5P.;;1;01;BENZINA;14;0;0;1198;0;51;;0,00;26000000,00;26000000,00;26000000,00;;0,00;N;;;0,00;;4100;;;0,00;0,00;0,00;;;0;N;;;0;;;0;0;0;0;;;N;;;;;;;;;;0,00;0,00;0,00;0,00;;;0,00;;;;0;0,00;0,00;0,00;;0;0;0,00;0,00;0,00;;0,00;;0,00;0;0;;N;;;;;
21;289400524;289400524;OWEB-23774-289400524;;5;GEN;;184643239;0;;0;052657;07/1999;N;4;3;2;0;;;;1;BF021CF;;NISSAN;PICK-UP 2.5 TD 4 PORTE;;1;;DIESEL;0;0;0;0;0;0;;0,00;8000000,00;8000000,00;8000000,00;;0,00;N;;;0,00;;;;;0,00;0,00;0,00;;;0;N;;;0;;;0;0;0;0;;;N;;;;;;;;;;0,00;0,00;0,00;0,00;;;0,00;;;;0;0,00;0,00;0,00;;0;0;0,00;0,00;0,00;;0,00;;0,00;0;0;;N;;;;;
21;289400525;289400525;OWEB-23774-289400525;;5;GEN;;184643240;0;;0;113831;04/2018;N;1;1;1;0;;;;1;FP778SV;;VOLVO;XC90 D5 AWD GEARTRONIC 7;;12;25;DIESEL;20;0;0;1969;0;173;;0,00;12000000,00;12000000,00;12000000,00;;0,00;N;;;0,00;;24400;;;0,00;0,00;0,00;;;0;N;;;0;;;0;0;0;0;;;N;;;;;;;;;;0,00;0,00;0,00;0,00;;;0,00;;;;0;0,00;0,00;0,00;;0;0;0,00;0,00;0,00;;0,00;;0,00;0;0;;N;;;;;
21;289400526;289400526;OWEB-23774-289400526;;5;GEN;;184643241;0;;0;153093;06/2026;N;1;1;1;0;;;;1;HE069EE;;SUZUKI;VITARA 1.4 HYBRID 4WD A;;1;01;IBRIDA;16;0;0;1373;0;80;;0,00;12000000,00;12000000,00;12000000,00;;0,00;N;;;0,00;;30450;;;0,00;0,00;0,00;;;0;N;;;0;;;0;0;0;0;;;N;;;;;;;;;;0,00;0,00;0,00;0,00;;;0,00;;;;0;0,00;0,00;0,00;;0;0;0,00;0,00;0,00;;0,00;;0,00;0;0;;N;;;;;
21;241951052;241951052;OWEB-23774-241951052;;5;GEN;;180394770;0;;0;;06/2020;N;4;3;3;0;;;;1;FZ873RY;;MERCEDES;BENZ 963;;13;;DIESEL;0;0;0;0;0;0;;0,00;26000000,00;26000000,00;26000000,00;;0,00;N;;;0,00;;;;;0,00;0,00;0,00;;;0;N;;;0;;;0;0;0;0;;;N;;;;;;;;;;0,00;0,00;0,00;0,00;;;0,00;;;;0;0,00;0,00;0,00;;0;0;0,00;0,00;0,00;;0,00;;0,00;0;0;;N;;;;;
