tp_record_share;id_polizza_exp;id_polizza_invio;id_polizza_inviante;id_polizza_ricevente;compagnia_ania;compagnia_exp;agenzia;numero_polizza_cmp;progressivo;repertorio;codice_garanzia_art20;descrizione_garanzia_art20;stato_garanzia_art20;cod_garanzia_cmp;descrizione_garanzia_cmp;ramo_bil;codice_provv;aliquota;tasso;minimo;scoperto;valore_ass_1;valore_ass_2;valore_ass_3;tipo_bene_assicurato_art20;id_bene_exp;descrizione_bene_assicurato;id_beneficiario_exp;tipo_premi;tipo_premi_delega;provvigioni_totali;provvigioni_acquisto;provvigioni_incasso;netto;diritti;accessori;imponibile;antiracket;tasse;lordo;ssn;sconto_applicato_1;sconto_applicato_2;massimo;franchigia;diaria;libro_matricola;numero_applicazione_lm;collaboratore_1;provv_tot_c1;provv_acq_c1;provv_acq_parte_fissa_c1;provv_acq_parte_variabile_c1;provv_inc_c1;provv_inc_parte_fissa_c1;provv_inc_parte_variabile_c1;al_provv_tot_c1;al_provv_acq_c1;al_provv_acq_parte_fissa_c1;al_provv_acq_parte_variabile_c1;al_provv_inc_c1;al_provv_inc_parte_fissa_c1;al_provv_inc_parte_variabile_c1;timestamp_record
30;249596265;249596265;OWEB-23774-249596265;;5;GEN;;730806302;0;;;;;1A6;PICCOLE INDUSTRIE AUTOMATIZZATE;0;;0,00;0,00;0,00;0,00;1226300,0;0,00;0,00;;;;;R;T;0,00;0,00;0,00;1724,68;0,00;0,00;1724,68;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;N;;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;
30;249596265;249596265;OWEB-23774-249596265;;5;GEN;;730806302;0;;;;;S57;SCIOPERO - ADB DA RISCHI ORDINARI;0;;0,00;0,00;0,00;0,00;276000,0;0,00;0,00;;;;;R;T;0,00;0,00;0,00;12,18;0,00;0,00;12,18;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;N;;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;
30;249596265;249596265;OWEB-23774-249596265;;5;GEN;;730806302;0;;;;;1B6;ADB DA PICCOLE INDUSTRIE AUTOMATIZZATE;0;;0,00;0,00;0,00;0,00;245400,0;0,00;0,00;;;;;R;T;0,00;0,00;0,00;138,78;0,00;0,00;138,78;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;N;;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;
30;249596265;249596265;OWEB-23774-249596265;;5;GEN;;730806302;0;;;;;S30;ADB - TERRORISMO DA RISCHI ORDINARI;0;;0,00;0,00;0,00;0,00;276000,0;0,00;0,00;;;;;R;T;0,00;0,00;0,00;12,18;0,00;0,00;12,18;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;N;;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;
30;249596265;249596265;OWEB-23774-249596265;;5;GEN;;730806302;0;;;;;S02;HAIL - GRANDINE DA R.O. INCENDIO;0;;0,00;0,00;0,00;0,00;276000,0;0,00;0,00;;;;;R;T;0,00;0,00;0,00;7,31;0,00;0,00;7,31;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;N;;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;
30;249596265;249596265;OWEB-23774-249596265;;5;GEN;;730806302;0;;;;;S15;WINDSTORM DA R.O. INCENDIO;0;;0,00;0,00;0,00;0,00;276000,0;0,00;0,00;;;;;R;T;0,00;0,00;0,00;17,05;0,00;0,00;17,05;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;N;;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;
30;249596265;249596265;OWEB-23774-249596265;;5;GEN;;730806302;0;;;;;S53;SOVRACCARICO NEVE DA RO - INCENDIO;0;;0,00;0,00;0,00;0,00;276000,0;0,00;0,00;;;;;R;T;0,00;0,00;0,00;16,23;0,00;0,00;16,23;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;N;;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;
30;249596265;249596265;OWEB-23774-249596265;;5;GEN;;730806302;0;;;;;E34;ARTIGIANI;0;;0,00;0,00;0,00;0,00;3042500,0;0,00;0,00;;;;;R;T;0,00;0,00;0,00;1069,0;0,00;0,00;1069,0;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;N;;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;
30;249596265;249596265;OWEB-23774-249596265;;5;GEN;;730806302;0;;;;;E66;RCO - PRIMA CATEGORIA PROVVIGIONALE;0;;0,00;0,00;0,00;0,00;3042500,0;0,00;0,00;;;;;R;T;0,00;0,00;0,00;164,47;0,00;0,00;164,47;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;N;;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;
30;249472889;249472889;OWEB-23774-249472889;;5;GEN;;730857421;0;;;;;1A1;CIVILI AUTOMATIZZATE;0;;0,00;0,00;0,00;0,00;105000,0;0,00;0,00;;;;;R;T;0,00;0,00;0,00;8,98;0,00;0,00;8,98;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;N;;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;
