tp_record_share;ke;ki;id_polizza_exp;id_polizza_inviante;id_polizza_ricevente;id_titolo_invio;id_titolo_inviante;id_titolo_ricevente;id_polizza_invio;compagnia_ania;compagnia_exp;agenzia;numero_polizza_cmp;numero_polizza_cmp_delegataria;progressivo;repertorio_polizza;ramo;effetto_titolo;fl_aggiorna_copertura;data_scadenza_emesso;tipo_titolo_compagnia;tipo_titolo_share;progressivo_titolo;tipo_polizza;frazionamento;stato_share;stato_cmp;id_titolo_exp;id_incasso_exp;dt_pag_cliente;dt_competenza_contabile;numero_foglio_cassa;data_registrazione_fc;data_foglio_cassa;riga_foglio_cassa;valuta_share;tipo_coass;ns_quota;ns_quota_premio;quota_delegataria_sinistri;bonus_malus_universale;bonus_malus_interna;tipo_premi_delega;netto_totale;diritti_totale;accessori_totale;imponibile_totale;antiracket_totale;ssn_totale;tasse_totale;lordo_totale;interessi_frazionamento;sconto_applicato_1;sconto_applicato_2;provvigioni_totale;provvigioni_acquisto_totale;provvigioni_acquisto_variabile;provvigioni_acquisto_fissa;provvigioni_incasso_totale;provvigioni_incasso_variabile;provvigioni_incasso_fissa;provvigioni_acquisto_diritti;provvigioni_incasso_diritti;collaboratore_1;provv_tot_c1;provv_acq_c1;provv_acq_parte_fissa_c1;provv_acq_parte_variabile_c1;provv_acq_parte_diritti_c1;provv_inc_c1;provv_inc_parte_fissa_c1;provv_inc_parte_variabile_c1;provv_inc_parte_diritti_c1;collaboratore_2;provv_tot_c2;provv_acq_c2;provv_acq_parte_fissa_c2;provv_acq_parte_variabile_c2;provv_acq_parte_diritti_c2;provv_inc_c2;provv_inc_parte_fissa_c2;provv_inc_parte_variabile_c2;provv_inc_parte_diritti_c2;collaboratore_3;provv_tot_c3;provv_acq_c3;provv_acq_parte_fissa_c3;provv_acq_parte_variabile_c3;provv_acq_parte_diritti_c3;provv_inc_c3;provv_inc_parte_fissa_c3;provv_inc_parte_variabile_c3;provv_inc_parte_diritti_c3;collaboratore_4;provv_tot_c4;provv_acq_c4;provv_acq_parte_fissa_c4;provv_acq_parte_variabile_c4;provv_acq_parte_diritti_c4;provv_inc_c4;provv_inc_parte_fissa_c4;provv_inc_parte_variabile_c4;provv_inc_parte_diritti_c4;collaboratore_5;prodotto_cmp;sottoprodotto_cmp;fl_incasso_diretto;fl_incasso_subagente;indicatore_incasso_subagente;fondo_mutua_totale;altre_spese_totale;mezzo_pagamento_cmp;mezzo_pag_share;codice_massimale_share;massimale_unico;massimale_sinistro;massimale_cose;massimale_persone;valore_veicolo;flessibilita_rca;tipo_tariffa_rca_share;aliquota_tassa_rca;data_annullamento_titolo;motivo_annullamento_titolo_cmp;data_contenzioso;cig;cup;rischio_cmp;utente_incasso;numero_appendice;importo_scatola_nera;giorni_mora;data_scadenza_mora;binder;importo_parcella;data_emissione_regolazione;data_effetto_copertura_regolazione;data_scadenza_copertura_regolazione;libro_matricola;numero_applicazione_lm;id_fornitore_inviante;id_fornitore_ricevente;id_titolo_cmp;timestamp_record
40;;;289400527;OWEB-23774-289400527;;949387627;OWEB-23774-949387627;;289400527;5;GEN;;732884004;;0;;01;15/06/2026;N;;PS;PS;0;1;2;I;I;949387627;;;;;;;0;EUR;1;10000;0;0;0;;T;128,86;0,00;12,87;141,73;0,08;0,00;2,77;144,5;0,00;0,00;0,00;34,36;17,33;0,00;0,00;17,03;0,00;0,00;0,00;0,00;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;N;;0,00;0,00;;;;0,00;0,00;0,00;0,00;0,00;0,00;;0,00;;;;;;;;;0,00;;;;0,00;;;;N;;;;GEN-2003010011PO72ZO;
40;;;241952243;OWEB-23774-241952243;;916744841;OWEB-23774-916744841;;241952243;5;GEN;;730025540;;0;;01;14/03/2026;N;;QZ;QZ;0;1;2;I;I;916744841;;;;;;;0;EUR;1;10000;0;0;0;;T;301,12;0,00;30,12;331,24;3,29;0,00;73,76;405,0;0,00;0,00;0,00;82,84;82,84;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;N;;0,00;0,00;;;;0,00;0,00;0,00;0,00;0,00;0,00;;0,00;;;;;;;;;0,00;0;14/03/2026;;0,00;;;;N;;;;GEN-20030100112BS38M;
40;;;253621539;OWEB-23774-253621539;;916745386;OWEB-23774-916745386;;253621539;5;GEN;;731039889;;0;;01;14/03/2026;N;;QZ;QZ;0;1;2;I;I;916745386;;;;;;;0;EUR;1;10000;0;0;0;;T;216,29;0,00;0,00;216,29;2,14;0,00;48,12;264,41;0,00;0,00;0,00;51,62;51,62;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;N;;0,00;0,00;;;;0,00;0,00;0,00;0,00;0,00;0,00;;0,00;;;;;;;;;0,00;0;14/03/2026;;0,00;;;;N;;;;GEN-20030100112CT79V;
40;;;248978359;OWEB-23774-248978359;;936215977;OWEB-23774-936215977;;248978359;5;GEN;;732169441;;0;;3W;12/06/2026;N;;QZ;QZ;0;1;12;P;P;936215977;;12/06/2026;;;;19/06/2026;0;EUR;1;10000;0;0;0;;T;100,05;0,00;10,0;110,05;0,00;0,00;2,95;113,0;0,00;0,00;0,00;24,77;11,56;0,00;0,00;13,21;0,00;0,00;0,00;0,00;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;N;;0,00;0,00;RD;SEC;;0,00;0,00;0,00;0,00;0,00;0,00;;0,00;;;;;;;;;0,00;0;12/06/2026;;0,00;;;;N;;;;GEN-2003010011H3KJ5K;
40;;;241949942;OWEB-23774-241949942;;936216106;OWEB-23774-936216106;;241949942;5;GEN;;180024596;;0;;3N;18/06/2026;N;;QZ;QZ;0;2;2;P;P;936216106;;22/06/2026;;;;22/06/2026;0;EUR;1;10000;0;0;0;;T;256,36;0,00;0,00;256,36;0,48;19,95;50,64;307,0;0,00;0,00;0,00;33,14;33,14;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;N;;0,00;0,00;CO;;;0,00;0,00;0,00;0,00;0,00;0,00;;0,00;;;;;;;;;0,00;0;18/06/2026;;0,00;;;;N;;;;GEN-2004017TTB0HLSBC;
40;;;265757686;OWEB-23774-265757686;;936855004;OWEB-23774-936855004;;265757686;5;GEN;;83745607;;0;;09;12/06/2026;N;;QZ;QZ;0;4;12;P;P;936855004;;12/06/2026;;;;22/06/2026;0;EUR;1;10000;0;0;0;;T;79,25;0,5;0,00;79,75;0,00;0,00;0,00;79,75;0,00;0,00;0,00;3,99;0,00;0,00;0,00;3,99;0,00;0,00;0,00;0,00;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;N;;0,00;0,00;ID;;;0,00;0,00;0,00;0,00;0,00;0,00;;0,00;;;;;;;;;0,00;0;12/06/2026;;0,00;;;;N;;;;GEN-3002012104325752;
40;;;244233497;OWEB-23774-244233497;;936855012;OWEB-23774-936855012;;244233497;5;GEN;;83124582;;0;;09;11/06/2026;N;;QZ;QZ;0;4;12;P;P;936855012;;11/06/2026;;;;19/06/2026;0;EUR;1;10000;0;0;0;;T;18,15;0,5;0,00;18,65;0,00;0,00;0,00;18,65;0,00;0,00;0,00;0,93;0,00;0,00;0,00;0,93;0,00;0,00;0,00;0,00;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;N;;0,00;0,00;ID;SEC;;0,00;0,00;0,00;0,00;0,00;0,00;;0,00;;;;;;;;;0,00;0;11/06/2026;;0,00;;;;N;;;;GEN-3002012104451364;
40;;;267781153;OWEB-23774-267781153;;937880223;OWEB-23774-937880223;;267781153;5;GEN;;183629171;;0;;3N;11/06/2026;N;;QZ;QZ;0;2;1;P;P;937880223;;22/06/2026;;;;22/06/2026;0;EUR;1;10000;0;0;0;;T;326,42;0,00;0,00;326,42;0,00;34,27;75,08;401,5;0,00;0,00;0,00;25,5;25,5;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;N;;0,00;0,00;PS;;;0,00;0,00;0,00;0,00;0,00;0,00;;0,00;;;;;;;;;0,00;0;11/06/2026;;0,00;;;;N;;;;GEN-2004017U2EEEXS4P;
40;;;241951142;OWEB-23774-241951142;;937880225;OWEB-23774-937880225;;241951142;5;GEN;;180394860;;0;;3N;19/06/2026;N;;QZ;QZ;0;2;1;P;P;937880225;;19/06/2026;;;;22/06/2026;0;EUR;1;10000;0;0;0;;T;839,95;0,00;0,00;839,95;6,13;17,46;129,05;969,0;0,00;0,00;0,00;97,34;97,34;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;N;;0,00;0,00;BN;;;0,00;0,00;0,00;0,00;0,00;0,00;;0,00;;;;;;;;;0,00;0;19/06/2026;;0,00;;;;N;;;;GEN-2004017U2E1S2FI9;
40;;;251714194;OWEB-23774-251714194;;937880227;OWEB-23774-937880227;;251714194;5;GEN;;182259625;;0;;3N;19/06/2026;N;;QZ;QZ;0;2;1;P;P;937880227;;22/06/2026;;;;22/06/2026;0;EUR;1;10000;0;0;0;;T;413,66;0,00;0,00;413,66;1,99;15,46;69,34;483,0;0,00;0,00;0,00;65,76;65,76;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;N;;0,00;0,00;BN;;;0,00;0,00;0,00;0,00;0,00;0,00;;0,00;;;;;;;;;0,00;0;19/06/2026;;0,00;;;;N;;;;GEN-2004017U2E8Q4L7R;
