tp_record_share;id_titolo_invio;id_titolo_exp;id_titolo_inviante;id_titolo_ricevente;compagnia_ania;compagnia_exp;agenzia;numero_polizza_cmp;progressivo;repertorio_polizza;ramo;effetto_titolo;stato_share;id_incasso_exp;cod_garanzia_cmp;descrizione_garanzia_cmp;ramo_bil;codice_provv;aliquota;tipo_premi_delega;netto;diritti;accessori;imponibile;antiracket;tasse;lordo;ssn;sconto_applicato_1;sconto_applicato_2;provvigioni_totali;provvigioni_acquisto;provvigioni_acquisto_variabile;provvigioni_acquisto_fissa;provvigioni_incasso;provvigioni_incasso_variabile;provvigioni_incasso_fissa;provvigioni_acquisto_diritti;provvigioni_incasso_diritti;collaboratore_1;provv_tot_c1;provv_acq_c1;provv_acq_parte_fissa_c1;provv_acq_parte_variabile_c1;provv_acq_parte_diritti_c1;provv_inc_c1;provv_inc_parte_fissa_c1;provv_inc_parte_variabile_c1;provv_inc_parte_diritti_c1;collaboratore_2;provv_tot_c2;provv_acq_c2;provv_acq_parte_fissa_c2;provv_acq_parte_variabile_c2;provv_acq_parte_diritti_c2;provv_inc_c2;provv_inc_parte_fissa_c2;provv_inc_parte_variabile_c2;provv_inc_parte_diritti_c2;collaboratore_3;provv_tot_c3;provv_acq_c3;provv_acq_parte_fissa_c3;provv_acq_parte_variabile_c3;provv_acq_parte_diritti_c3;provv_inc_c3;provv_inc_parte_fissa_c3;provv_inc_parte_variabile_c3;provv_inc_parte_diritti_c3;collaboratore_4;provv_tot_c4;provv_acq_c4;provv_acq_parte_fissa_c4;provv_acq_parte_variabile_c4;provv_acq_parte_diritti_c4;provv_inc_c4;provv_inc_parte_fissa_c4;provv_inc_parte_variabile_c4;provv_inc_parte_diritti_c4;timestamp_record
42;949387627;949387627;OWEB-23774-949387627;;5;GEN;;732884004;0;;01;15/06/2026;I;;T03;AZIENDE E PROFESSIONISTI;0;;0,00;T;1,03;0,00;0,1;1,13;0,00;0,24;1,37;0,00;0,00;0,00;0,22;0,09;0,00;0,00;0,13;0,00;0,00;0,00;0,00;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;
42;949387627;949387627;OWEB-23774-949387627;;5;GEN;;732884004;0;;01;15/06/2026;I;;EE1;ELETTRONICA;0;;0,00;T;2,17;0,00;0,22;2,39;0,00;0,53;2,92;0,00;0,00;0,00;0,54;0,25;0,00;0,00;0,29;0,00;0,00;0,00;0,00;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;
42;949387627;949387627;OWEB-23774-949387627;;5;GEN;;732884004;0;;01;15/06/2026;I;;E66;RCO - PRIMA CATEGORIA PROVVIGIONALE;0;;0,00;T;0,42;0,00;0,04;0,46;0,01;0,1;0,56;0,00;0,00;0,00;0,11;0,05;0,00;0,00;0,06;0,00;0,00;0,00;0,00;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;
42;949387627;949387627;OWEB-23774-949387627;;5;GEN;;732884004;0;;01;15/06/2026;I;;E02;FABBRICATI;0;;0,00;T;0,55;0,00;0,05;0,6;0,01;0,13;0,73;0,00;0,00;0,00;0,16;0,08;0,00;0,00;0,08;0,00;0,00;0,00;0,00;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;
42;949387627;949387627;OWEB-23774-949387627;;5;GEN;;732884004;0;;01;15/06/2026;I;;205;DIVERSI;0;;0,00;T;4,8;0,00;0,48;5,28;0,05;1,17;6,45;0,00;0,00;0,00;1,28;0,64;0,00;0,00;0,64;0,00;0,00;0,00;0,00;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;
42;949387627;949387627;OWEB-23774-949387627;;5;GEN;;732884004;0;;01;15/06/2026;I;;E42;FABBRICATI;0;;0,00;T;0,42;0,00;0,04;0,46;0,01;0,1;0,56;0,00;0,00;0,00;0,11;0,05;0,00;0,00;0,06;0,00;0,00;0,00;0,00;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;
42;949387627;949387627;OWEB-23774-949387627;;5;GEN;;732884004;0;;01;15/06/2026;I;;I40;CUMULATIVA INFORTUNI AZIENDALE;0;;0,00;T;18,03;0,00;1,8;19,83;0,00;0,5;20,33;0,00;0,00;0,00;4,86;2,48;0,00;0,00;2,38;0,00;0,00;0,00;0,00;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;
42;949387627;949387627;OWEB-23774-949387627;;5;GEN;;732884004;0;;01;15/06/2026;I;;E72;FABBRICATI - BENI STORICI;0;;0,00;T;15,72;0,00;1,57;17,29;0,00;0,00;17,29;0,00;0,00;0,00;4,16;2,08;0,00;0,00;2,08;0,00;0,00;0,00;0,00;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;
42;949387627;949387627;OWEB-23774-949387627;;5;GEN;;732884004;0;;01;15/06/2026;I;;AD1;RISCHI CIVILI STAND. - BENI STORICI;0;;0,00;T;21,0;0,00;2,1;23,1;0,00;0,00;23,1;0,00;0,00;0,00;5,77;3,0;0,00;0,00;2,77;0,00;0,00;0,00;0,00;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;
42;949387627;949387627;OWEB-23774-949387627;;5;GEN;;732884004;0;;01;15/06/2026;I;;S97;SOVRACCARICO NEVE DA RI - INCENDIO TASSA 0;0;;0,00;T;21,0;0,00;2,1;23,1;0,00;0,00;23,1;0,00;0,00;0,00;5,43;2,66;0,00;0,00;2,77;0,00;0,00;0,00;0,00;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;
